microsample,cryosection,SampleType,Xcoord,Ycoord,size,shape,Xcoord_pixel_crop,Ycoord_pixel_crop
M302682,G082bI105A,Positive,13154.34592,17746.07874,4976,Elipse,580,214
M302681,G082bI105A,Positive,13669.86416,19626.05138,5140,Elipse,650,456
M302706,G082bI105A,Positive,13435.10238,17371.99692,5140,Elipse,618,166
M302676,G082bI105A,Positive,12603.90334,18146.37784,5140,Elipse,506,266
M302708,G082bI105A,Positive,10890.80456,20678.18696,5140,Elipse,274,591
M302692,G082bI105A,Positive,11685.44104,21996.9061,5140,Elipse,382,760
M302703,G082bI105A,Positive,13575.01644,17351.4501,4976,Elipse,637,163
M302717,G082bI105A,Positive,13448.36872,20662.49602,4976,Elipse,620,589
M302680,G082bI105A,Positive,13709.1632,19086.36872,5140,Elipse,655,386
M302721,G082bI105A,Positive,13265.40418,20853.61406,4976,Elipse,595,613
M302696,G082bI105A,Positive,11352.23924,22757.3483,5140,Elipse,337,858
M302718,G082bI105A,Positive,13439.88908,20781.86326,4976,Elipse,619,604
M302711,G082bI105A,Positive,10567.66872,20749.28548,5140,Elipse,231,600
M302710,G082bI105A,Positive,11013.05472,20425.94412,5140,Elipse,291,558
M302691,G082bI105A,Positive,11067.31156,21955.26018,5140,Elipse,298,755
M302684,G082bI105A,Positive,13560.77694,18077.7623,4976,Elipse,635,257
M302679,G082bI105A,Positive,13365.66474,18724.8973,5140,Elipse,609,340
M302702,G082bI105A,Positive,11584.3343,21587.8727,4976,Elipse,368,708
M302678,G082bI105A,Positive,12777.69698,18482.53192,5140,Elipse,529,309
M302715,G082bI105A,Positive,13323.321,21415.1368,4976,Elipse,603,685
M302693,G082bI105A,Positive,11672.92158,22264.75138,5140,Elipse,380,795
M302704,G082bI105A,Positive,13574.36416,17474.07874,4976,Elipse,637,179
M302675,G082bI105A,Positive,12691.48272,17764.35742,5140,Elipse,518,217
M302690,G082bI105A,Positive,12086.98144,22191.24374,5140,Elipse,436,785
M302687,G082bI105A,Positive,13947.80552,18434.64836,4976,Elipse,687,303
M302716,G082bI105A,Positive,13538.7095,20615.20572,4976,Elipse,632,583
M302700,G082bI105A,Positive,11671.31368,21467.52704,4976,Elipse,380,692
M302683,G082bI105A,Positive,13549.9973,17763.36416,4976,Elipse,634,216
M302701,G082bI105A,Positive,12677.97964,21332.28786,4976,Elipse,516,675
M302688,G082bI105A,Positive,13875.20244,18810.19152,4976,Elipse,677,351
M302698,G082bI105A,Positive,12282.23738,20439.03282,4976,Elipse,462,560
M302689,G082bI105A,Positive,13505.75928,20348.69878,4976,Elipse,628,548
M302695,G082bI105A,Positive,11483.6359,22543.41612,5140,Elipse,354,830
M302707,G082bI105A,Positive,10852.50514,21047.62646,5140,Elipse,269,638
M302714,G082bI105A,Positive,13364.87688,20636.73096,4976,Elipse,609,585
M302677,G082bI105A,Positive,12988.36596,18058.87232,5140,Elipse,558,254
M302720,G082bI105A,Positive,11949.60276,18623.29878,4976,Elipse,417,327
M302705,G082bI105A,Positive,14038.73648,18247.93924,4976,Elipse,700,279
M302712,G082bI105A,Positive,11143.03738,21349.221,5140,Elipse,308,677
M302709,G082bI105A,Positive,10523.31368,20673.621,5140,Elipse,225,590
M302697,G082bI105A,Positive,11227.79692,21719.14374,5140,Elipse,320,724
M302686,G082bI105A,Positive,13530.44592,18430.83468,4976,Elipse,631,302
